"T";"BW";"Fcentroid";"Fmax";"Class"
11.8416666666667;3.09931106983925;25.4250282765044;26.162109375;1
10.8875;2.69834630469253;25.9703047461656;26.162109375;1
9.575;1.96798339655774;25.7374491939332;26.162109375;1
9.13333333333333;1.81619055221219;25.7782423374755;26.1328125;1
10.5666666666667;2.2338555744111;25.6315910697089;26.044921875;1
10.0083333333333;1.51280617069977;25.9440842694331;26.279296875;1
12.3333333333333;2.45389259960565;25.9176229231392;26.07421875;1
11.95;2.74174631205151;25.7913581494655;26.1328125;1
13.525;2.72479153633294;26.0617234084408;26.162109375;1
12.4916666666667;2.49442351818255;25.7924077100003;26.015625;1
14.5083333333333;2.41844378267352;25.8354457670721;26.044921875;1
12.7166666666667;2.17962396692883;25.9770388856522;26.07421875;1
8.61666666666667;7.22642361831626;21.7190068846139;15.8203125;0
15.2625;4.39571583385207;25.1113607350944;25.986328125;1
7.22083333333333;9.20492097946124;26.6382563141858;15.849609375;0
19.9125;2.15638389523497;25.5845922338468;26.1328125;1
15.7958333333333;1.79262247114614;25.6095870819283;26.1328125;1
18.7791666666667;3.80468190339237;24.9367782919658;26.103515625;1
18.5083333333333;2.00752085811229;25.5485225500512;26.103515625;1
11.8458333333333;1.14307504740266;25.7799457073636;26.103515625;1
5.65833333333333;6.76487147879695;23.779563368578;22.79296875;0
14.2833333333333;1.8374249206364;25.5593650349821;26.1328125;1
14.3916666666667;2.30702161327551;25.1872617258155;26.1328125;1
15.9958333333333;1.43042729369485;25.6941457429751;26.044921875;1
13.8625;1.38653739834297;25.79316858823;26.19140625;1
12.5458333333333;7.11752572698975;23.894535232457;18.8671875;0
15.0416666666667;2.02890399487096;25.3561635807438;26.103515625;1
8.3125;2.95792446168919;25.8244256862553;25.83984375;1
16.1375;1.68974206300289;25.5619378777975;26.015625;1
14.2125;7.22191504374451;22.1947729411968;16.171875;0
33.3;3.73815990332707;25.439133691191;26.07421875;1
5.52916666666667;8.33560933773626;26.758420096818;23.73046875;0
15.6583333333333;2.5911553115041;25.5952729197766;25.927734375;1
14.8041666666667;1.4196600087608;25.7531589482335;26.044921875;1
13.4916666666667;1.05261184975539;25.905939247329;26.103515625;1
24.0291666666667;2.43297040264451;25.6309119494094;26.103515625;1
20.7375;2.5673188854888;25.381348817977;26.103515625;1
17.7708333333333;2.76124196984001;25.3268610100489;26.07421875;1
17.2;2.71024227582463;25.1332160684993;26.07421875;1
11.4666666666667;7.65266685177702;23.8434978892813;21.38671875;0
20.075;2.58219554872573;25.3338775777004;25.986328125;1
11.9416666666667;1.3170333385431;25.889526234842;26.103515625;1
12.3625;9.37763860659805;29.0814611100698;21.03515625;0
10.9833333333333;1.36958187633032;25.7909393182315;26.07421875;1
15.2375;2.40922514111791;25.2821615611223;26.044921875;1
3.98333333333333;5.60237041717137;30.8821685925359;29.296875;0
15.1708333333333;2.47844023236946;25.6462143251105;26.044921875;1
10.9583333333333;6.17098905805852;26.5507832674264;23.0859375;0
15.1791666666667;2.46549317022597;25.6225788238089;26.015625;1
12.9958333333333;6.93828577265236;25.4618207967135;24.84375;0
12.6875;1.8781075328199;25.8319258040984;26.1328125;1
21.85;4.3525143874928;24.7810057611186;26.015625;1
14.2333333333333;2.22651986114146;25.5973810865519;25.8984375;1
15.3333333333333;2.98755986235899;25.3650057854467;25.986328125;1
11.6666666666667;1.90885388547266;25.870532906528;26.1328125;1
13.525;3.58881289546287;25.6056430489009;26.220703125;1
7.91666666666667;6.80015734796982;24.2233843675788;21.123046875;0
10.7041666666667;2.71781615778487;25.8051373572285;25.986328125;1
11.5583333333333;2.8577136517014;25.8233729645142;26.07421875;1
10.4125;3.4941815643093;25.6108226840313;25.927734375;1
3.07916666666667;5.5302072684911;20.4614317431129;18.486328125;1
