T;BW;Fcent;Fmax;Classe
3.975;5.43985617699;22.0358043398;21.5625;4
3.97916666667;4.32991325079;21.4325197836;20.9765625;4
4.02083333333;5.37587951058;22.0345708218;20.9765625;4
3.99166666667;4.71565277878;21.6935065887;20.2734375;4
4.025;5.01061217051;21.1669817658;20.56640625;4
19.1791666667;6.3438840035;31.086734837;33.896484375;2
29.6458333333;3.13556481178;24.0888219711;23.26171875;3
18.5458333333;7.20977438519;29.8763558625;33.837890625;2
29.1;2.92990487228;24.1189835467;23.61328125;3
19.1833333333;6.93015734741;30.0113430826;33.75;2
29.225;2.95870508079;24.0235265122;23.3203125;3
18.5541666667;7.67508150309;29.5155434318;33.80859375;2
29.1333333333;2.87038953331;23.9624552151;23.056640625;3
18.2125;8.24184080191;27.4359939298;33.80859375;2
27.4583333333;2.72761848634;23.8748454245;23.14453125;3
18.6291666667;8.18467639928;28.2291548241;33.80859375;2
27.825;2.51979107049;23.8628909304;23.5546875;3
11.9416666667;1.54634758883;25.8048001186;26.1328125;1
9.85;1.15238324986;25.8446263746;26.07421875;1
11.8166666667;1.64366708607;25.7160830115;26.1328125;1
12.8875;2.19949008241;25.3365699957;26.1328125;1
13.0166666667;1.34287969583;25.7793626487;26.07421875;1
11.5166666667;1.38185695771;25.7405479532;26.162109375;1
7.85833333333;7.61463431821;21.1366660407;18.837890625;0
12.7166666667;2.21673106959;25.2678863537;26.103515625;1
3.75;4.73982691406;25.361991071;25.6640625;1
10.325;1.29438853314;25.7422261768;26.015625;1
